iter	Logloss
0	0.6658051583
1	0.6440782994
2	0.6265656041
3	0.6127577253
4	0.6018515451
5	0.5928297817
6	0.5862376186
7	0.5800300293
8	0.5751309553
9	0.5709522095
10	0.5672325003
11	0.5645539812
12	0.5618802839
13	0.5595984759
14	0.5575070626
15	0.5559713484
16	0.5545311977
17	0.5532109898
18	0.5521209891
19	0.5511445836
20	0.5502346279
21	0.5494022304
22	0.5487509155
23	0.5481032104
24	0.5475286778
25	0.5470242048
26	0.5465690569
27	0.5460582886
28	0.5457056972
29	0.5453336182
30	0.5449920393
31	0.5446920776
32	0.5444045497
33	0.5441010219
34	0.5438618513
35	0.5435971941
36	0.5434111503
37	0.5431731306
38	0.5429639544
39	0.5427619193
40	0.5425941947
41	0.542409014
42	0.5422692697
43	0.5421111537
44	0.5419566302
45	0.5418019322
46	0.5416739066
47	0.5415521153
48	0.54143287
49	0.541350926
50	0.5412153495
51	0.5411471296
52	0.5410322963
53	0.5408872768
54	0.5407505319
55	0.5406397792
56	0.5405429426
57	0.5404613909
58	0.5403682774
59	0.5402723214
60	0.5401302577
61	0.5400729893
62	0.539982884
63	0.5399127895
64	0.5397942679
65	0.5397405483
66	0.5396490566
67	0.5395834351
68	0.5395264108
69	0.5394564296
70	0.5393934501
71	0.5393004848
72	0.5392528251
73	0.5391475307
74	0.5390560128
75	0.5389849941
76	0.5388857858
77	0.5387967704
78	0.5387132917
79	0.5386686837
80	0.5386122175
81	0.5385715506
82	0.5385062256
83	0.5384347011
84	0.5383703352
85	0.5383023507
86	0.53823863
87	0.5381859044
88	0.5381096453
89	0.5380362898
90	0.5379954311
91	0.5379615566
92	0.5379268886
93	0.5378565238
94	0.5377953055
95	0.5377332589
96	0.5376943359
97	0.5376306327
98	0.5375829468
99	0.5375350603
100	0.5374662301
101	0.5374180472
102	0.5373529314
103	0.5372907104
104	0.5372379063
105	0.5371737235
106	0.5371281041
107	0.5370862427
108	0.5370361154
109	0.5369824132
110	0.5369306728
111	0.5368813738
112	0.5368263027
113	0.5367734375
114	0.5367134399
115	0.536679112
116	0.5366076399
117	0.5365681501
118	0.5365354178
119	0.5365070975
120	0.5364691598
121	0.5364259905
122	0.5363863961
123	0.5363278024
124	0.5362681013
125	0.5362176688
126	0.5361960188
127	0.5361614031
128	0.5361231253
129	0.5360782732
130	0.536049299
131	0.5360252075
132	0.5359796143
133	0.5359359916
134	0.5358982544
135	0.5358621129
136	0.5357961775
137	0.5357384818
138	0.5356977975
139	0.5356489781
140	0.5356153128
141	0.5355685861
142	0.5355177264
143	0.5354655326
144	0.5354277605
145	0.5353815831
146	0.5353480835
147	0.5353113665
148	0.5352883737
149	0.5352582833
150	0.5352228132
151	0.5351751273
152	0.5351515852
153	0.5351123134
154	0.5350751168
155	0.5350273699
156	0.5350000959
157	0.5349732056
158	0.5349301758
159	0.5348897879
160	0.5348390765
161	0.5348163539
162	0.5347897949
163	0.5347279837
164	0.5346948068
165	0.5346515241
166	0.5346222534
167	0.5345970808
168	0.5345484358
169	0.5345288435
170	0.5344944022
171	0.5344739903
172	0.5344363578
173	0.5343927874
174	0.5343564104
175	0.5342985578
176	0.534263079
177	0.5342352644
178	0.5341712646
179	0.5341453509
180	0.5340979178
181	0.5340686907
182	0.5340268119
183	0.5339894671
184	0.5339590018
185	0.533927403
186	0.5338914882
187	0.5338618949
188	0.5338291888
189	0.5337908151
190	0.5337410801
191	0.5337240252
192	0.5336978498
193	0.5336752668
194	0.5336385236
195	0.5335974208
196	0.5335760324
197	0.5335486625
198	0.5335079694
199	0.5334787685
200	0.5334564035
201	0.533418117
202	0.5333848877
203	0.5333675014
204	0.5333386405
205	0.5333010341
206	0.5332745361
207	0.5332447335
208	0.533232884
209	0.5332082694
210	0.5331841954
211	0.5331657628
212	0.5331323678
213	0.5330885707
214	0.5330622646
215	0.5330326451
