iter	Passed	Remaining
0	53	26459
1	100	25071
2	154	25615
3	194	24079
4	213	21146
5	229	18921
6	245	17257
7	260	16005
8	288	15730
9	316	15522
10	346	15399
11	367	14936
12	382	14342
13	397	13808
14	415	13421
15	432	13075
16	446	12686
17	464	12441
18	485	12284
19	510	12257
20	532	12135
21	556	12083
22	571	11860
23	597	11846
24	616	11720
25	636	11609
26	651	11414
27	667	11258
28	695	11293
29	723	11329
30	746	11297
31	765	11196
32	783	11085
33	801	10988
34	823	10938
35	848	10935
36	874	10937
37	906	11023
38	930	10994
39	960	11050
40	978	10952
41	994	10844
42	1012	10756
43	1029	10668
44	1044	10565
45	1065	10512
46	1085	10464
47	1109	10444
48	1128	10383
49	1151	10366
50	1199	10563
51	1250	10773
52	1294	10921
53	1340	11067
54	1372	11101
55	1402	11119
56	1435	11156
57	1467	11182
58	1501	11225
59	1542	11312
60	1568	11290
61	1600	11304
62	1623	11260
63	1652	11255
64	1683	11265
65	1718	11301
66	1749	11307
67	1782	11321
68	1802	11261
69	1821	11190
70	1845	11149
71	1861	11067
72	1884	11020
73	1900	10939
74	1915	10855
75	1937	10806
76	1964	10791
77	1994	10788
78	2029	10816
79	2078	10913
80	2118	10957
81	2146	10943
82	2169	10899
83	2207	10933
84	2227	10873
85	2250	10834
86	2266	10759
87	2289	10717
88	2315	10692
89	2345	10686
90	2373	10665
91	2392	10609
92	2413	10562
93	2441	10545
94	2458	10480
95	2478	10428
96	2496	10370
97	2511	10304
98	2530	10249
99	2551	10204
100	2571	10157
101	2590	10106
102	2620	10100
103	2639	10049
104	2660	10007
105	2685	9981
106	2708	9948
107	2726	9897
108	2745	9847
109	2763	9798
110	2786	9765
111	2809	9732
112	2840	9727
113	2856	9672
114	2875	9625
115	2897	9590
116	2912	9534
117	2930	9487
118	2948	9440
119	2966	9393
120	2987	9357
121	3008	9320
122	3033	9298
123	3051	9254
124	3069	9208
125	3086	9162
126	3108	9130
127	3127	9088
128	3142	9037
129	3161	8997
130	3180	8957
131	3200	8923
132	3218	8880
133	3247	8870
134	3264	8826
135	3282	8785
136	3300	8746
137	3319	8706
138	3336	8665
139	3361	8643
140	3379	8604
141	3397	8565
142	3418	8534
143	3443	8512
144	3473	8504
145	3491	8465
146	3513	8436
147	3531	8399
148	3549	8361
149	3569	8328
150	3586	8288
151	3605	8255
152	3627	8227
153	3653	8209
154	3680	8192
155	3703	8166
156	3727	8143
157	3745	8106
158	3764	8073
159	3784	8042
160	3804	8009
161	3824	7980
162	3843	7947
163	3867	7924
164	3895	7908
165	3919	7886
166	3940	7857
167	3960	7826
168	3981	7797
169	4000	7765
170	4016	7727
171	4036	7697
172	4057	7669
173	4081	7646
174	4119	7650
175	4157	7654
176	4189	7644
177	4208	7613
178	4229	7584
179	4248	7552
180	4264	7516
181	4286	7488
182	4307	7460
183	4335	7445
184	4354	7415
185	4373	7383
186	4402	7368
187	4421	7336
188	4438	7304
189	4454	7267
190	4471	7234
191	4495	7211
192	4518	7187
193	4543	7166
194	4562	7135
195	4580	7104
196	4602	7079
197	4625	7055
198	4642	7022
199	4661	6992
200	4679	6960
201	4701	6935
202	4736	6929
203	4758	6904
204	4776	6873
205	4793	6841
206	4813	6813
207	4830	6781
208	4847	6749
209	4864	6717
210	4881	6686
211	4904	6662
212	4927	6639
213	4948	6613
214	4964	6580
215	4981	6550
216	4999	6520
217	5020	6495
218	5039	6465
219	5053	6432
220	5071	6402
221	5090	6374
222	5111	6348
223	5130	6321
224	5151	6295
225	5174	6273
226	5193	6245
227	5211	6216
228	5232	6191
229	5249	6162
230	5266	6132
231	5283	6103
232	5305	6079
233	5332	6061
234	5355	6038
235	5381	6019
236	5399	5991
237	5417	5964
238	5441	5942
239	5463	5918
240	5481	5891
241	5500	5864
242	5518	5836
243	5540	5812
244	5559	5785
245	5576	5757
246	5603	5739
247	5626	5717
248	5639	5684
249	5661	5661
250	5680	5635
251	5698	5607
252	5715	5579
253	5735	5554
254	5760	5534
255	5777	5506
256	5808	5492
257	5826	5464
258	5843	5437
259	5862	5411
260	5880	5384
261	5897	5357
262	5915	5330
263	5933	5304
264	5953	5279
265	5975	5257
266	6006	5241
267	6024	5215
268	6044	5190
269	6065	5166
270	6082	5140
271	6105	5117
272	6123	5091
273	6143	5067
274	6165	5044
275	6188	5022
276	6210	5000
277	6237	4980
278	6260	4958
279	6282	4936
280	6303	4912
281	6321	4886
282	6338	4860
283	6356	4834
284	6378	4812
285	6401	4789
286	6428	4770
287	6450	4748
288	6472	4725
289	6494	4702
290	6512	4677
291	6529	4651
292	6545	4624
293	6563	4599
294	6582	4574
295	6605	4552
296	6629	4531
297	6650	4507
298	6670	4484
299	6692	4461
300	6711	4437
301	6730	4412
302	6750	4388
303	6770	4364
304	6788	4340
305	6814	4320
306	6837	4298
307	6860	4276
308	6879	4252
309	6900	4229
310	6919	4205
311	6936	4179
312	6954	4155
313	6979	4134
314	7003	4112
315	7030	4093
316	7060	4075
317	7077	4050
318	7096	4026
319	7118	4004
320	7137	3980
321	7157	3956
322	7176	3932
323	7194	3908
324	7213	3884
325	7234	3861
326	7259	3840
327	7283	3819
328	7305	3797
329	7324	3773
330	7341	3748
331	7360	3724
332	7377	3699
333	7393	3674
334	7412	3650
335	7429	3626
336	7450	3603
337	7471	3580
338	7492	3558
339	7521	3539
340	7545	3518
341	7564	3494
342	7580	3469
343	7602	3447
344	7623	3424
345	7650	3404
346	7672	3382
347	7689	3358
348	7718	3339
349	7738	3316
350	7766	3296
351	7786	3273
352	7805	3250
353	7824	3226
354	7841	3202
355	7866	3181
356	7886	3158
357	7916	3139
358	7935	3116
359	7955	3093
360	7977	3071
361	7997	3048
362	8016	3025
363	8035	3002
364	8058	2980
365	8082	2959
366	8102	2936
367	8133	2917
368	8152	2894
369	8169	2870
370	8188	2847
371	8208	2824
372	8227	2801
373	8247	2778
374	8265	2755
375	8287	2733
376	8309	2711
377	8333	2689
378	8360	2669
379	8380	2646
380	8403	2624
381	8424	2602
382	8443	2579
383	8459	2555
384	8477	2532
385	8493	2508
386	8513	2485
387	8534	2463
388	8565	2444
389	8593	2423
390	8614	2401
391	8631	2378
392	8650	2355
393	8669	2332
394	8687	2309
395	8707	2286
396	8728	2264
397	8745	2241
398	8776	2221
399	8797	2199
400	8816	2176
401	8839	2154
402	8857	2131
403	8876	2109
404	8893	2086
405	8908	2062
406	8926	2039
407	8944	2016
408	8963	1994
409	8993	1974
410	9014	1951
411	9031	1929
412	9053	1907
413	9089	1888
414	9117	1867
415	9139	1845
416	9158	1822
417	9180	1800
418	9206	1779
419	9229	1758
420	9260	1737
421	9284	1716
422	9314	1695
423	9336	1673
424	9356	1651
425	9379	1629
426	9402	1607
427	9433	1586
428	9452	1564
429	9471	1541
430	9492	1519
431	9510	1497
432	9529	1474
433	9549	1452
434	9571	1430
435	9591	1407
436	9612	1385
437	9639	1364
438	9662	1342
439	9682	1320
440	9700	1297
441	9717	1275
442	9734	1252
443	9756	1230
444	9775	1208
445	9795	1186
446	9813	1163
447	9831	1141
448	9861	1120
449	9879	1097
450	9897	1075
451	9914	1052
452	9927	1030
453	9943	1007
454	9963	985
455	9979	962
456	9993	940
457	10010	918
458	10028	895
459	10045	873
460	10075	852
461	10093	830
462	10111	808
463	10128	785
464	10153	764
465	10172	742
466	10193	720
467	10210	698
468	10227	676
469	10244	653
470	10261	631
471	10289	610
472	10310	588
473	10327	566
474	10345	544
475	10359	522
476	10377	500
477	10399	478
478	10417	456
479	10432	434
480	10454	412
481	10473	391
482	10505	369
483	10520	347
484	10539	325
485	10560	304
486	10579	282
487	10598	260
488	10616	238
489	10634	217
490	10652	195
491	10671	173
492	10694	151
493	10720	130
494	10739	108
495	10759	86
496	10776	65
497	10801	43
498	10818	21
499	10836	0
